IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
151.145.69.105,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,135,9.05
151.145.69.105,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,132,8.74
151.145.69.105,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,152,8.12
152.70.102.124,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,160,8.08
138.3.215.11,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,145,7.74
132.145.121.242,80,80,FALSE,HKG,Asia Pacific,Hong Kong,135,7.4
152.70.102.124,80,80,FALSE,HKG,Asia Pacific,Hong Kong,128,7.1
151.145.69.105,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,130,7.08
131.186.40.31,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,149,7.06
158.101.148.221,80,80,FALSE,HKG,Asia Pacific,Hong Kong,146,6.84
138.3.215.11,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,140,6.83
132.145.121.242,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,137,6.75
131.186.59.232,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,136,6.71
132.145.121.242,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,138,6.71
131.186.59.232,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,129,6.7
131.186.40.31,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,143,6.51
138.3.215.11,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,132,6.27
158.101.148.221,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,183,6.24
158.101.148.221,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,216,6.23
132.145.121.242,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,128,6.14
151.145.69.105,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,126,6.09
138.3.215.11,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,138,5.95
158.101.148.221,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,139,5.71
131.186.40.31,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,154,5.63
138.3.215.11,80,80,FALSE,HKG,Asia Pacific,Hong Kong,128,5.61
158.101.148.221,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,172,5.58
131.186.59.232,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,144,5.4
132.145.121.242,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,193,5.39
141.147.178.135,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,146,5.38
141.147.178.135,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,154,5.35
152.70.102.124,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,134,5.32
132.145.121.242,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,133,5.24
151.145.69.105,80,80,FALSE,HKG,Asia Pacific,Hong Kong,143,5.24
131.186.40.31,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,164,5.12
132.145.121.242,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,135,5.1
158.101.148.221,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,146,5.09
141.147.178.135,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,139,4.95
131.186.40.31,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,176,4.95
152.70.102.124,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,140,4.88
158.101.148.221,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,148,4.8
151.145.69.105,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,137,4.68
132.145.121.242,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,159,4.66
158.101.148.221,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,148,4.6
141.147.178.135,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,135,4.56
141.147.178.135,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,136,4.47
131.186.59.232,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,133,4.47
152.70.102.124,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,143,4.46
131.186.59.232,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,164,4.3
131.186.40.31,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,175,4.3
152.70.102.124,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,144,4.21
131.186.40.31,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,126,4.13
131.186.59.232,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,144,4.11
152.70.102.124,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,142,4.06
138.3.215.11,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,135,3.99
131.186.59.232,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,146,3.92
152.70.102.124,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,196,3.77
132.145.121.242,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,284,3.72
131.186.59.232,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,137,3.7
152.70.102.124,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,126,3.6
131.186.40.31,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,184,3.57
132.145.121.242,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,130,3.55
131.186.59.232,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,163,3.5
151.145.69.105,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,195,3.32
138.3.215.11,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,137,3.27
131.186.59.232,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,157,3.13
131.186.40.31,80,80,FALSE,HKG,Asia Pacific,Hong Kong,152,2.66
131.186.59.232,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,192,2.14
158.101.148.221,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,147,1.92
158.101.148.221,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,188,1.3
132.145.121.242,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,241,0.95
151.145.69.105,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,143,0.68
131.186.59.232,80,80,FALSE,HKG,Asia Pacific,Hong Kong,138,0.67
131.186.40.31,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,128,0.66
158.101.148.221,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,146,0.34
146.56.134.155,443,0,FALSE,HKG,Asia Pacific,Hong Kong,121,0.01
146.235.17.21,443,443,TRUE,HKG,Asia Pacific,Hong Kong,1,0
138.2.36.216,443,443,TRUE,HKG,Asia Pacific,Hong Kong,74,0
129.151.134.185,443,443,TRUE,HKG,Asia Pacific,Hong Kong,90,0
158.179.186.123,2052,0,FALSE,HKG,Asia Pacific,Hong Kong,126,0
168.138.196.164,8443,0,TRUE,HKG,Asia Pacific,Hong Kong,141,0
158.179.186.123,2095,0,FALSE,HKG,Asia Pacific,Hong Kong,146,0
